"","RP_ENTITY_ID","ENTITY_NAME","cnt"
"197","535779","Standard Life Bank PLC",9106
"198","0E128A","Supervalu Inc.",9095
"199","268E06","Bunzl PLC",9094
"200","837628","Nexen Inc.",9087
"201","B38078","BURSA MALAYSIA BHD",9080
"202","E124EB","Danaher Corp.",9074
"203","62BF3E","Morrison Supermarkets PLC",9074
"204","ADD366","OJSC Rosneft Oil Co.",9073
"205","4F11BC","GKN PLC",9070
"206","9F03CF","Hershey Co.",9057
"207","9C3136","Valeo S.A.",9031
"208","26CC63","Jabil Circuit Inc.",9027
"209","9BBFA5","Darden Restaurants Inc.",9023
"210","A7102F","Henry Schein Inc.",9021
"211","155733","Esprit Holdings Ltd.",9016
"212","4B2EC0","Smithfield Foods Inc.",9010
"213","00067A","Humana Inc.",9001
"214","721662","CDC Corp. Cl A",8960
"215","59C6CB","Origin Energy Ltd.",8959
"216","6FDA48","Mills Corp.",8937
"217","8A6C15","Grupo Ferrovial S.A.",8936
"218","CFA9AD","Gucci Group N.V.",8926
"219","C01E66","Martin Currie Ltd.",8924
"220","11425F","Diagnostic Products Corp.",8916
"221","B8A913","BearingPoint Inc.",8913
"222","3F4497","Masco Corp.",8912
"223","9DB5D7","Talbots Inc.",8906
"224","8A4575","Fanuc Ltd.",8900
"225","927CB9","Maxtor Corp.",8885
"226","680729","SkyePharma PLC",8875
"227","E02CF9","Ariba Inc.",8865
"228","85A2FF","SBM Offshore N.V.",8851
"229","E60E69","Medco Health Solutions Inc.",8851
"230","2945AF","Intouch Holdings PCL",8848
"231","B25172","Allegheny Energy Inc.",8846
"232","25BFA9","King Pharmaceuticals Inc.",8830
"233","D850B7","Thai Airways International PLC",8825
"234","940C3D","Baker Hughes Inc.",8813
"235","A20989","Beam Inc.",8806
"236","6DA1EE","National Semiconductor Corp.",8802
"237","2EC172","NCR Corp.",8798
"238","429FA3","Four Seasons Hotels Inc.",8789
"239","E5A85E","John Keells Holdings PLC",8788
"240","E02049","WR Hambrecht & Co.",8783
"241","820800","Wavecom S.A.",8782
"242","26A764","Tommy Hilfiger Corp.",8771
"243","12B137","Ciba Holding AG",8767
"244","F1D7E1","Jardine Cycle & Carriage Ltd.",8762
"245","C1C633","Dassault Systemes S.A.",8757
"246","F13C0C","IMS Health Inc.",8747
"247","5D49C7","Canadian National Railway Co.",8745
"248","D9593D","Constellation Energy Group Inc.",8742
"249","BFAEB4","Cintas Corp.",8742
"250","A65489","Kirin Holdings Co. Ltd.",8739
"251","D1E81C","CGI Group Inc.",8732
"252","480A02","Atlantia S.p.A.",8730
"253","51371F","Mittal Steel Co. N.V.",8723
"254","039E10","Hovnanian Enterprises Inc.",8718
"255","0F4DB4","Permira LLP",8717
"256","AF2572","Housing Development Finance Corp. Ltd.",8706
"257","9D2790","Sysco Corp.",8695
"258","5D8FB1","Telecom Italia Media S.p.A.",8693
"259","DC2A10","Borders Group Inc.",8692
"260","2DD58E","Indian Oil Corp. Ltd.",8689
"261","AE5474","Nordion Inc.",8679
"262","A247F5","Fair Isaac Corp.",8675
"263","1A8691","Golden Star Resources Ltd.",8672
"264","285175","Praxair Inc.",8669
"265","4CB724","PaineWebber Group Inc.",8666
"266","69C9D6","Winn-Dixie Stores Inc.",8649
"267","39ED23","Merriman Inc.",8649
"268","BB5271","Akamai Technologies Inc.",8634
"269","41D76C","PacifiCare Health Systems Inc.",8615
"270","525C7F","Jones Apparel Group Inc.",8615
"271","215817","NetRatings Inc.",8605
"272","1A98DB","NOVA Chemicals Corp.",8598
"273","7693B0","SK Securities Co. Ltd.",8594
"274","099559","Weyerhaeuser Co. Ltd.",8586
"275","3BC4D8","Massey Energy Co.",8581
"276","7EC821","Barr Pharmaceuticals Inc.",8575
"277","DEC5F7","T-Online International AG",8569
"278","8A4E60","TIBCO Software Inc.",8557
"279","ACC87B","Cosco Corp. (Singapore) Ltd.",8540
"280","28221E","Agrium Inc.",8539
"281","CA4027","Woori Investment & Securities Co. Ltd.",8510
"282","D125D6","AmSouth Bancorporation",8508
"283","4CFBDB","Genting Hong Kong Ltd.",8505
"284","33D6AE","Woori Bank",8500
"285","2A9078","Kansai Electric Power Co. Inc.",8496
"286","39DC8F","Pacific Sunwear of California Inc.",8491
"287","EF8334","Point72 Asset Management LP",8485
"288","E99564","Telekom Austria AG",8479
"289","09AEEF","TransAlta Corp.",8474
"290","B81894","Torstar Corp.",8473
"291","D9B7A5","Banco Bradesco S.A.",8449
"292","F5C8AB","Expeditors International of Washington Inc.",8426
"293","33649B","Logitech International S.A.",8424
"294","A59868","Business Objects S.A.",8421
"295","00389F","Vontobel Holding AG",8419
"296","F7FA4A","Dimension Data Holdings PLC",8413
"297","0853E0","New Delhi Television Ltd.",8403
"298","CAE929","TheStreet Inc.",8385
"299","A9F2CA","Univision Communications Inc.",8383
"300","DE27F9","Chubb Ltd.",8369
"301","66CB62","Chesapeake Energy Corp.",8356
"302","FD39EB","NRG Energy Inc.",8341
"303","2BF36E","Dentsply Sirona Inc.",8339
"304","0A48B6","Dixons Carphone PLC",8339
"305","5D9C9E","PEMEX",8338
"306","4E4E75","Patterson Cos. Inc.",8337
"307","CDE118","Domtar Corp.",8334
"308","25D68B","Manila Electric Co.",8331
"309","18F1D4","BBX Capital Corp.",8328
"310","B32585","Symbol Technologies Inc.",8325
"311","2D643C","Norfolk Southern Corp.",8313
"312","DA44AF","Dow Jones & Co. Inc.",8313
"313","3C050F","Pioneer Corp.",8281
"314","328FFD","Areva S.A.",8268
"315","7840D6","Sasol Ltd.",8252
"316","055551","Kate Spade & Co.",8243
"317","616E3B","Waste Management Inc.",8240
"318","822996","MOBILEONE LTD.",8240
"319","CC339B","Gentex Corp.",8237
"320","07CA6A","Brunswick Corp.",8235
"321","601979","Nidec Corp.",8235
"322","5BC929","Toll Holdings Ltd.",8231
"323","7D85A9","AmerisourceBergen Corp.",8228
"324","A6C151","Kuwait Petroleum Corp.",8225
"325","93FC4D","UTStarcom Inc.",8223
"326","50D5B6","SCOR Holding (Switzerland) AG",8220
"327","AA5C8E","Kinder Morgan Inc.",8210
"328","BA9110","Fresenius SE & Co. KGaA",8209
"329","70E789","Celgene Corp.",8208
"330","5FA841","Siam Commercial Bank PCL",8200
"331","B4B822","GenOn Energy Inc.",8194
"332","6208E4","Patrick Corp. Ltd.",8186
"333","964A22","Applied Biosystems Inc.",8183
"334","6DAACF","Genting Malaysia Bhd",8180
"335","92D3A0","Fastenal Co.",8177
"336","E68C3D","Analog Devices Inc.",8159
"337","EA2BE4","Polycom Inc.",8148
"338","56E3CB","Lagardere S.C.A.",8144
"339","CE80D1","GlaxoSmithKline Pharmaceuticals Ltd.",8140
"340","387DAF","SAS AB",8136
"341","692DA6","Canadian Pacific Railway Ltd.",8134
"342","C48861","Shaw Communications Inc.",8129
"343","17F6AD","Advanced Semiconductor Engineering Inc.",8127
"344","A29A46","Ferro Corp.",8126
"345","C0200F","ManpowerGroup Inc.",8119
"346","3C3616","DRB-HICOM Bhd",8114
"347","DD422F","Hyundai Engineering & Construction Co. Ltd.",8114
"348","66ECFD","Automatic Data Processing Inc.",8107
"349","2B6B97","Atmel Corp.",8105
"350","2FD2F9","Conexant Systems Inc.",8105
"351","AEAC21","Cadre Services Inc.",8104
"352","DB30C3","ProLogis Inc.",8096
"353","F59EA0","Insurance Australia Group Ltd.",8087
"354","A15D55","Grupo Mexico S.A.B. de C.V.",8071
"355","196FFE","NuStar Energy L.P.",8055
"356","2037DC","HLTH Corp.",8049
"357","D3B951","Lincare Holdings Inc.",8047
"358","65A0E8","XL Group Ltd.",8033
"359","61D090","Great Elm Capital Group Inc.",8027
"360","753D38","Rinker Group Ltd.",8026
"361","A095EB","Ping An Insurance (Group) Co. of China Ltd.",8021
"362","A28BBB","Oil Search Ltd.",8013
"363","E974B6","Safeway PLC",7999
"364","84D6B2","Intersil Corp.",7989
"365","47B000","OSI Pharmaceuticals Inc.",7975
"366","736E9C","Japan Exchange Group Inc.",7973
"367","0FC989","THQ Inc.",7967
"368","FF00C9","Reebok International Ltd.",7960
"369","67A069","Reliance Communications Ltd.",7953
"370","AA09AD","Diebold Inc.",7932
"371","C673BF","Navistar International Corp.",7932
"372","749E29","DoubleClick Inc.",7921
"373","FD5C77","Tiffany & Co.",7921
"374","34E891","Open Text Corp.",7903
"375","48149A","TRW Inc.",7897
"376","516559","Tokio Marine Holdings Inc.",7896
"377","C3BCD5","Newell Brands Inc.",7872
"378","4A2900","Geeknet Inc.",7860
"379","8C369C","Hellenic Telecommunications Organization S.A.",7857
"380","A01163","Black & Decker Corp.",7839
"381","6ED519","NiSource Inc.",7838
"382","C32632","Nedbank Group Ltd.",7831
"383","B9D1A5","Wal-Mart de Mexico S.A.B. de C.V.",7829
"384","528DA2","EDP-Energias de Portugal S.A.",7829
"385","B3435D","Takefuji Corp.",7822
"386","4D371E","Zions Bancorp.",7818
"387","B2C98C","OZ Minerals Ltd.",7814
"388","423AD5","Tata Consultancy Services Ltd.",7803
"389","F33B3C","International Game Technology PLC",7800
"390","BDE867","E.W. Scripps Co.",7799
"391","E61E5B","Coca-Cola European Partners PLC",7798
"392","EA2BE8","Venture Corp. Ltd.",7798
"393","35AE32","Blucora Inc.",7797
"394","0D952B","PJSC MMC Norilsk Nickel",7784
"395","6C8511","Air China Ltd.",7783
"396","FFB613","Hongkong Land Holdings Ltd.",7782
"397","16B183","Apache Corp.",7780
"398","C5C977","Sons of Gwalia Ltd.",7765
"399","59887E","Siam Cement PCL",7762
"400","9C2AA7","Ingram Micro Inc.",7757
"401","C08122","CareerBuilder Inc.",7745
"402","A3ACBC","Warehouse Group Ltd.",7724
"403","400885","Tsingtao Brewery Co. Ltd.",7721
"404","5A9A82","PPL Corp.",7719
"405","6B5379","Parker Hannifin Corp.",7719
"406","A3ABB5","Acer Inc.",7711
"407","837392","Rank Group PLC",7707
"408","CB25E2","Shimizu Corp.",7707
"409","FD0CA4","GATX Corp.",7695
"410","FFBF74","Potash Corporation of Saskatchewan Inc.",7695
"411","979F2F","McDATA Corp.",7689
"412","D51FB2","Soitec S.A.",7684
"413","D01549","Fresenius Medical Care AG & Co. KGaA",7684
"414","9453BA","Atlas Copco AB",7677
"415","56277A","Zimmer Biomet Holdings Inc.",7676
